review_year,index_value
1998,1.0000
1999,0.6923
2000,0.9795
2001,0.9628
2002,0.9271
2003,0.8791
2004,0.8622
2005,0.9028
2006,0.8639
2007,0.7308
2008,0.6525
2009,0.6494
2010,0.6402
2011,0.5989
2012,0.4947
2013,0.3664
2014,0.2762
2015,0.2178
