review_year,review_count
1998,2
1999,9
2000,2538
2001,5614
2002,8821
2003,12840
2004,13641
2005,21278
2006,32897
2007,67103
2008,68474
2009,87977
2010,126118
2011,189363
2012,263401
2013,499980
2014,626677
2015,521411
